Id,Category
s_s_ video rude cnn report ask trump whi he take time off to open a hotel e_e_,fake
s_s_ are the poll rig against trump all of these wildli diverg survey can not possibl be correct e_e_,fake
s_s_ trump campaign wa just order to appear in court for voter intimid e_e_,fake
s_s_ from monster to mr presid elect democrat grovel befor trump inform e_e_,fake
s_s_ cb 60 minut withheld trump appeal to stop attack minor and ignor report of attack on trump support e_e_,real
s_s_ trump throw a fit when ask whi he is promot hi hotel instead of campaign e_e_,fake
s_s_ trump dont follow the bush obama foreign polici legaci e_e_,fake
s_s_ trump want to appoint alt right propagandist steve bannon as hi chief of staff e_e_,real
s_s_ trump a wrench in the work to the nwo timet for global control e_e_,fake
s_s_ there might be consequ for the gop presidenti candid who wont endors donald trump e_e_,fake
s_s_ d k wave berlusconi knockoff late night host nasti trump attack dismantl by steven crowder e_e_,real
s_s_ mccain to trump dont you dare make peac with russia e_e_,fake
s_s_ trump support bust commit voter fraud trump say poll are rig so i had to e_e_,fake
s_s_ ivana say young donald trump wa a cri babi ha anyth chang e_e_,fake
s_s_ hillari clinton betray by her own famili we re vote for trump e_e_,fake
s_s_ trump support jail for tri to rig the elect by commit voter fraud e_e_,fake
s_s_ trump support got nut on msnbc report cover anti trump rioter e_e_,fake
s_s_ obstacl to trump growth plan e_e_,real
s_s_ trump head to white hous after stun win clinton e_e_,real
s_s_ welcom to the trump world order inform e_e_,fake
s_s_ call trump moscow favorit is nonsens creat by media putin e_e_,fake
s_s_ comment on shock video hillari support attack homeless woman protect trump star by tooney e_e_,fake
s_s_ trump tulsi gabbard factor e_e_,real
s_s_ donald trump continu to lie about voter fraud claim offici will throw away mail in ballot e_e_,real
s_s_ trump won becaus democrat parti fail work peopl say sander e_e_,fake
s_s_ ny elementari school call off mock elect becaus student were chant trump and we dont want muslim here e_e_,fake
s_s_ bust trump support get caught creat fake badg to intimid voter at poll place addict info the knowledg you crave e_e_,fake
s_s_ donald trump claim the elect will be rig and critic have call that preposter and danger e_e_,real
s_s_ zulema rodriguez paid to incit violenc at trump ralli proven e_e_,fake
s_s_ polit in the matrix trump wont prosecut hillari clinton e_e_,fake
s_s_ tug of war between nato and trump who will win e_e_,fake
s_s_ donald trump and the equilibrium to come new eastern outlook e_e_,fake
s_s_ trump swept to victori by fan of poor qualiti 80 action film e_e_,fake
s_s_ donald trump entir elect victori speech e_e_,real
s_s_ donald trump the next presid of the unit state of america e_e_,fake
s_s_ system breakdown trump chicken come home to roost e_e_,real
s_s_ former u treasuri secretari just warn trump could be assassin e_e_,real
s_s_ the result are pour in donald trump will be the next presid e_e_,fake
s_s_ in interview with bill maher obama warn america sit out thi elect is a vote for trump e_e_,fake
s_s_ how trump happen e_e_,fake
s_s_ medvedev in jerusalem as putin wait for trump e_e_,fake
s_s_ should russia rejoic at donald trump victori e_e_,real
s_s_ trump froh dass er sich ab morgen endlich nicht mehr zur ckhalten muss e_e_,real
s_s_ must see welcom to the famili whi so mani hispan american are vote for donald trump e_e_,fake
s_s_ new conserv media network send out cast call trump whistl with hand in pocket e_e_,fake
s_s_ watch as chri cuomo tell rudi giuliani you live in fact free trumpland e_e_,fake
s_s_ trump take the kosher seal e_e_,real
s_s_ trump reveal american muslim solut e_e_,real
s_s_ hillari trump and sart how existenti disrob the major presidenti candid e_e_,fake
s_s_ donald trump elect 45th presid of the unit state e_e_,real
s_s_ market collaps as donald trump is project to win e_e_,fake
s_s_ trump induc first major polici chang on syria inform e_e_,fake
s_s_ meet all the pundit pander for a trump adminstr job daili wire e_e_,fake
s_s_ if trump lose i m grab my musket former congressman tweet e_e_,fake
s_s_ even if you hate hillari you have to give her prop for make thi race a referendum on trump e_e_,fake
s_s_ rig elect hillari trump caught parti with kissing in jesuit gala e_e_,fake
s_s_ veri concern about islam sanction persecut of gay by muslim gay come out in forc for trump e_e_,fake
s_s_ clinton polici on syria will lead to ww3 say trump e_e_,real
s_s_ clinton coalit will trigger world war iii but who care trump is sexist e_e_,fake
s_s_ hillari campaign worker bust defac trump sign e_e_,fake
s_s_ state duma applaud to trump victori e_e_,fake
s_s_ congressman who said he couldnt look hi daughter in the eye and endors trump is vote trump e_e_,fake
s_s_ violent revolut if trump let them down peopl remain pois for angri revolt robert e_e_,fake
s_s_ nyt trump support are threaten a violent revolut if hillari win e_e_,fake
s_s_ trump won becaus the democrat parti fail not becaus the white work class revolt e_e_,fake
s_s_ trump melt down and accus the us postal servic of steal the elect for clinton e_e_,fake
s_s_ trump and putin we will destroy isi onc and for all e_e_,real
s_s_ donald j trump is now presid of the unit state of america e_e_,fake
s_s_ the most unqualifi media person on tv peopl who never saw a presid trump win e_e_,fake
s_s_ einigung bei regierungsbildung donald trump leitet k nftig all ministerien selbst e_e_,real
s_s_ valentin katasonov america is in agoni and trump is the doctor e_e_,fake
s_s_ lin manuel miranda announc new music about trump univers e_e_,real
s_s_ realiti slap donald trump in the face as u economi roar back e_e_,fake
s_s_ slovenia attract know more about melania trump birthplac morn news usa e_e_,real
s_s_ trump after deceiv the american peopl the new york time vow to start report honestli e_e_,real
s_s_ massiv list the time toler lib got violent with trump support e_e_,fake
s_s_ break ap find proof melania trump illeg work in u prior to get work visa e_e_,fake
s_s_ ny time trump support are threaten a violent revolut if hillari win e_e_,fake
s_s_ michael moo forget what i said befor trump support are racist and redneck e_e_,fake
s_s_ the black for trump man onc belong to a murder cult e_e_,fake
s_s_ donald trump hillari clinton two figur in a derail world e_e_,real
s_s_ trump new ad portray everi mother wors nightmar is noth short of chill e_e_,fake
s_s_ reductress how am i suppos to explain thi to my children ask melania trump e_e_,real
s_s_ al gore offer to work with trump on climat chang e_e_,real
s_s_ 5 way the media respond with butthurt to donald trump victori e_e_,fake
s_s_ pussi riot releas the perfect nasti woman answer to trump e_e_,fake
s_s_ assassin attempt donald trump rush off stage in reno by secret servic after protest flash gun e_e_,fake
s_s_ watch ut student protest trump e_e_,fake
s_s_ twitter freak out when white peopl spot hold black for trump sign e_e_,fake
s_s_ la trump tower cambriol e le voleur seraient reparti avec un myst rieux almanach de sport le gorafi e_e_,fake
s_s_ trump voter yell kill obama at victori speech onli barron ha decenc to look shock e_e_,real
s_s_ trump presidenti cabinet pick leak and they are terrifi e_e_,fake
s_s_ project verita video 4 20k briberi to dnc chao at trump ralli e_e_,fake
s_s_ trump vote are be flip to clinton e_e_,fake
s_s_ man use trump victori as excus to call ex girlfriend e_e_,fake
s_s_ libertarian parti vp insult trump practic endors clinton e_e_,fake
s_s_ trigger journalist snowflak scare trump support are turn on the media e_e_,fake
s_s_ will trump be differ than hillari or obama sot 125 e_e_,fake
s_s_ gay trump support get death threat from gay peopl who support a candid who receiv multi million dollar contribut from countri that execut gay e_e_,fake
s_s_ obama give trump a gift obamacar collaps nationwid one week befor elect day e_e_,fake
s_s_ nobel confus ramo horta trump and world disord e_e_,real
s_s_ homeless woman protect trump hollywood star get attack by big fat guy e_e_,fake
s_s_ free market econom recoveri with trump or global collectiv with hillari e_e_,fake
s_s_ fox news poll clinton lead trump by three point e_e_,fake
s_s_ trump surround by banker wall st insid bang on the door to get in drain the swamp e_e_,fake
s_s_ trump crush by hillari clinton new power close argument to women e_e_,real
s_s_ the trump elect life have merci on us new eastern outlook e_e_,fake
s_s_ megyn kelli make bombshel admiss about trump and the media e_e_,fake
s_s_ rachel maddow shine the light on trump white supremacist support e_e_,fake
s_s_ lol rememb when obama told trump he d never be presid american lookout e_e_,fake
s_s_ news first step donald trump ha to go around the white hous neighborhood let resid know he is move in down the street e_e_,real
s_s_ anoym the world war 3 will sure happen 29 10 2016 donald trump will win e_e_,fake
s_s_ trump receiv by massiv crowd in albuquerqu new mexico e_e_,real
s_s_ after gingrich attack megyn kelli over sex trump advisor threat against her blow up onlin e_e_,fake
s_s_ what hath trump wrought e_e_,real
s_s_ sicken hillarist spic attack kindli negress trump star defend e_e_,fake
s_s_ homeless trump support guard trump star on hollywood blvd 20 million illeg and american sleep on street e_e_,fake
s_s_ trump and hillari work for the same organ e_e_,fake
s_s_ trump warn of world war iii if clinton is elect e_e_,fake
s_s_ baba vanga wa right about obama presid and the 9 11 attack see dire futur for trump and the us e_e_,fake
s_s_ the toronto star publish an unauthor databas of thing that will infuri trump addict info the knowledg you crave e_e_,fake
s_s_ china warn trump against abandon climat chang deal increas climat chang aid to develop countri to 3 1b e_e_,real
s_s_ unhing trump support hold children at gunpoint over damag trump sign e_e_,fake
s_s_ presstv i cant punch trump now he presid e_e_,fake
s_s_ with donald trump tank a trump support wave her hillari in a noos doll at ralli e_e_,fake
s_s_ doe trump have a fight chanc against the establish new eastern outlook e_e_,fake
s_s_ hillari clinton v donald trump in 2016 e_e_,real
s_s_ can trump surviv the media onslaught e_e_,fake
s_s_ all we need to know about trump demis we learn from hi campaign launch speech e_e_,fake
s_s_ comment on if elect presid donald trump will not live in the white hous by rebecca bennett e_e_,fake
s_s_ fbi debunk hillari conspiraci theori trump is not a russian agent e_e_,fake
s_s_ presid trump man made global warm is a hoax e_e_,real
s_s_ the fix is in nbc affili accident post elect result a week earli hillari win presid 42 to trump 40 e_e_,fake
s_s_ the intercept out neocon democrat smear against trump as putin puppet e_e_,fake
s_s_ nigel farag held at heathrow on return from trump visit due to mysteri brown substanc on nose e_e_,real
s_s_ obama just did someth to spite trump on the presid elect veri first visit to the white hous e_e_,fake
s_s_ with trump elect world war 3 will not happen putin want to restor full relat with the usa e_e_,fake
s_s_ it about time maryland school offici declar end to student trump protest with no consequ american lookout e_e_,fake
s_s_ watch mass shoot occur dure trumpriot media ignor e_e_,fake
s_s_ trump is the nation abus in chief e_e_,fake
s_s_ america post trump widen divid e_e_,fake
s_s_ dr david duke and adrian salbuch the intern impact of a u presid trump and u senat duke e_e_,fake
s_s_ gold signal trump is no differ e_e_,fake
s_s_ question about the constitut amend that trump propos e_e_,fake
s_s_ fox latino are alreadi crush trump at the poll e_e_,fake
s_s_ world leader congratul trump putin anxiou to improv relat with america e_e_,fake
s_s_ man who caus scare at nevada trump ralli list in wikileak podesta email e_e_,fake
s_s_ the strang disturb histori of the gop token black for trump man e_e_,fake
s_s_ bust trump campaign chief behind fbi review of clinton foundat e_e_,fake
s_s_ the complic of obama democrat set stage for danger trump presid e_e_,fake
s_s_ rig to deni trump are they steal these state to block elector path to 270 e_e_,fake
s_s_ la sorti du dernier livr in dit du gorafi clips total la victoir de donald trump le gorafi e_e_,fake
s_s_ trump wont prosecut hillari dismiss thing that sound like the campaign e_e_,fake
s_s_ clinton polici on syria would lead to ww iii trump e_e_,real
s_s_ trump open new hotel in dc on time and under budget show how outsid get thing done in dc e_e_,fake
s_s_ donald trump the hero of the common man e_e_,real
s_s_ what happen if trump lose the elect what thi mean for america e_e_,fake
s_s_ latest poll show trump with 4 point lead in florida e_e_,fake
s_s_ break donald trump make major clinton indict announc detail e_e_,fake
s_s_ no hate crime have not intensifi sinc trump elect e_e_,fake
s_s_ who to blame for presid trump e_e_,real
s_s_ island leader ask trump for a chang of heart on climat e_e_,real
s_s_ melania trump say donald wa eg on in that infam tape e_e_,real
s_s_ appallingli ignor trump fuell entir by e_e_,real
s_s_ trump say north korea to be met with fire and furi e_e_,real
s_s_ donald trump record have lewd convers about women e_e_,real
s_s_ donald trump say secret servic did fantast job e_e_,real
s_s_ us elect third presidenti debat trump clinton e_e_,real
s_s_ middl east react to trump victori e_e_,real
s_s_ britain to trump no vacanc for farag as ambassador e_e_,fake
s_s_ palestinian stab isra in jerusalem anti trump protest flare e_e_,fake
s_s_ trump warn he may cut aid to countri over un e_e_,real
s_s_ jekyl and hyde trump reopen charlottesvil wound e_e_,fake
s_s_ tillerson deni resign rumour but not trump moron remark e_e_,real
s_s_ georg bush take veil swipe at donald trump in speech e_e_,real
s_s_ donald trump peter dutton refuge deal us e_e_,real
s_s_ trump describ india as true friend and partner e_e_,real
s_s_ taliban video australian hostag ask trump negoti releas e_e_,real
s_s_ priebu oust by trump in tumultu day for white hous e_e_,real
s_s_ donald trump plan to recognis jerusalem as israel capit e_e_,real
s_s_ all the promis from donald trump first speech e_e_,real
s_s_ donald trump prais north korean leader for wise decis guam e_e_,real
s_s_ donald trump charlottesvil legitimis violenc right wing e_e_,real
s_s_ cattl export concern under trump presid e_e_,real
s_s_ dfat say one nation request ticket for trump inaugur e_e_,real
s_s_ malcolm turnbul discuss middl east with donald trump e_e_,real
s_s_ north korea fire test missil in challeng to donald trump e_e_,real
s_s_ us donald trump obamacar repeal fail leav lesson to learn e_e_,real
s_s_ trump call for drug test befor third debat e_e_,real
s_s_ donald trump win in atlanta despit roll scandal e_e_,real
s_s_ reddit user apologis over donald trump wrestl video e_e_,real
s_s_ trump indonesian busi deal unearth e_e_,real
s_s_ trump sweep tax bill approv by hous of repres e_e_,real
s_s_ donald trump highlight power to move market e_e_,real
s_s_ one nation regist for tasmania state elect trump effect e_e_,real
s_s_ presid trump accus pakistan for provid a e_e_,real
s_s_ covfef act would preserv trump tweet as offici statement e_e_,real
s_s_ donald trump us elect wrap of week e_e_,real
s_s_ clinton comment on trump health e_e_,real
s_s_ donald trump replac reinc priebu with john kelli e_e_,real
s_s_ donald trump give deposit against chef amid legal battl e_e_,real
s_s_ donald trump malcolm turnbul refuge phone call transcript e_e_,real
s_s_ tech compani backlash over trump travel ban e_e_,real
s_s_ top financi mind say trump presid short term volatil e_e_,real
s_s_ is trump make the right decis on america e_e_,real
s_s_ donald trump north korea say unit state lock load e_e_,real
s_s_ trump tillerson visit china south china sea north korea focu e_e_,real
s_s_ trump counter critic of hi nation secur advis e_e_,real
s_s_ donald trump steve bannon militari solut north korea e_e_,real
s_s_ us elect trump clinton presidenti debat e_e_,real
s_s_ diplomaci expert alarm by donald trump remark e_e_,real
s_s_ donald trump travel ban temporarili block e_e_,real
s_s_ obama speak after trump victori e_e_,fake
s_s_ trump blast former aid at centr of russia probe as liar e_e_,real
s_s_ holliday defend decis to sing at trump inaugur e_e_,real
s_s_ at long last american choos between clinton and trump e_e_,real
s_s_ someth will have to be done about n korea trump e_e_,real
s_s_ donald trump win us elect defeat hillari clinton e_e_,real
s_s_ trump prais la vega shoot first respond e_e_,real
s_s_ under trump israel can reset middl east right wing say e_e_,real
s_s_ trump send chequ to famili of war dead after june promis e_e_,real
s_s_ japan rubber mask maker happi to face a trump presid e_e_,real
s_s_ rachel maddow releas donald trump tax return e_e_,real
s_s_ trump name time magazin person of the year e_e_,real
s_s_ trump inaugur let the era of unpredict begin e_e_,real
s_s_ melbourn school boy trump ban visa turnaround e_e_,real
s_s_ trump putin discuss syria north korea in phone call e_e_,real
s_s_ us elect donald trump evangel support flag e_e_,real
s_s_ morrison australia first polici after trump cancel tpp e_e_,real
s_s_ us elect republican distanc themselv from donald trump e_e_,real
s_s_ donald trump tax reveal wa news american style e_e_,real
s_s_ imf cite risk on trump spend plan but play e_e_,real
s_s_ anoth humili lesson for donald trump e_e_,real
s_s_ barack obama letter to donald trump transcript e_e_,real
s_s_ trump putin russia us relationship diplomaci go backward e_e_,real
s_s_ donald trump remain sceptic russia wa behind hack e_e_,real
s_s_ donald trump twitter share video hillari clinton hit golf ball e_e_,real
s_s_ activist protest trump racist e_e_,fake
s_s_ donald trump comey to testifi in russian meddl probe e_e_,real
s_s_ trump us design north korea a state sponsor of terror e_e_,real
s_s_ wall st us market eas on trump polit concern e_e_,real
s_s_ trump spokeswoman call him obama in daca press brief e_e_,fake
s_s_ trump xi commit to denuclearis of north korea e_e_,real
s_s_ trump is play the obama card with wire tap e_e_,fake
s_s_ russian lawyer who met trump jr readi to clarifi situat e_e_,fake
s_s_ sean spicer top moment as donald trump press secretari e_e_,real
s_s_ donald trump fine tune machin zoe daniel e_e_,real
s_s_ donald trump blame congress for all time low in russia tie e_e_,real
s_s_ trump pick exxon ceo to head state dept report e_e_,real
s_s_ cisco join other us compani in slam trump immigr ban e_e_,real
s_s_ under trump us farmer find an advoc e_e_,real
s_s_ is trump win realli a revolut e_e_,real
s_s_ philippin dutert say will deal with trump in righteou way e_e_,real
s_s_ can donald trump take credit for the us economi e_e_,real
s_s_ donald trump climat of fear pari accord e_e_,real
s_s_ donald trump news media coverag e_e_,real
s_s_ world leader react to donald trump us elect victori e_e_,real
s_s_ donald trump welcom children ahead of halloween weekend e_e_,real
s_s_ donald trump insid while intrud scale white hous fenc e_e_,real
s_s_ donald trump staff ask bakeri to copi obama inaugur cake e_e_,real
s_s_ whi ha trump pardon an ex cop face jail e_e_,fake
s_s_ how chri uhlmann g20 takedown of donald trump went viral e_e_,real
s_s_ trump announc decis on pari climat deal e_e_,real
s_s_ trump to end protect for haitian in us e_e_,real
s_s_ donald trump welcom egyptian presid e_e_,real
s_s_ jame comey confirm fbi investig trump russia link e_e_,real
s_s_ donald trump arriv in seoul on latest leg of hi e_e_,real
s_s_ david frum say donald trump is tri neutralis e_e_,real
s_s_ angri about the us result that how trump vote have felt e_e_,fake
s_s_ trump slam north korea in seoul speech e_e_,real
s_s_ ivanka trump draw boo defend her father in berlin e_e_,real
s_s_ trump new afghanistan strategi welcom by nato e_e_,real
s_s_ trump f 35 opinion fine but australia commit pyne say e_e_,real
s_s_ donald trump slump could hurt us tourism industri e_e_,real
s_s_ trump continu to domin as market becom cautiou e_e_,real
s_s_ saudi arabia hope donald trump will restor order middl east e_e_,real
s_s_ trump support head to dc e_e_,real
s_s_ donald trump weaker on world stage after sign russia bill e_e_,real
s_s_ donald trump unpredict style worri polit insid e_e_,real
s_s_ never bend to envi say trump e_e_,real
s_s_ who is and isnt attend the donald trump inaugur e_e_,real
s_s_ who is part of donald trump white hous team e_e_,real
s_s_ john kelli stun broken heart by critic of trump e_e_,real
s_s_ trump brexit cloud australia trade deal e_e_,real
s_s_ trump plan new white hous offic for son in law jare kushner e_e_,real
s_s_ donald trump apologis for vulgar comment but e_e_,real
s_s_ clinton in book say trump debat stalk made her skin crawl e_e_,fake
s_s_ us hous pass healthcar bill in major trump victori e_e_,real
s_s_ trump to releas jfk file subject to further inform e_e_,real
s_s_ donald trump did not pass russia secret putin say e_e_,real
s_s_ donald trump and the uncivil war e_e_,real
s_s_ may and trump affirm uk us relationship e_e_,real
s_s_ whi the republican tax cut bill is a big win for trump e_e_,real
s_s_ trudeau meet trump in washington e_e_,real
s_s_ brother suspect of robberi disguis as trump e_e_,real
s_s_ donald trump administr chao us can recov zoellick say e_e_,real
s_s_ trump wall is more about symbol than e_e_,real
s_s_ china exploit donald trump isolationist agenda asia expert say e_e_,real
s_s_ trump avoid commit to two state solut with netanyahu e_e_,real
s_s_ donald trump may have tweet himself into troubl e_e_,real
s_s_ trump deni daca deal with democrat e_e_,real
s_s_ donald trump and hillari clinton bitter us elect campaign e_e_,real
s_s_ donald trump is at hi zenith e_e_,real
s_s_ test time for china us relationship as trump e_e_,real
s_s_ clinton campaign help pay for scandal trump dossier e_e_,real
s_s_ trump and sanctuari citi e_e_,real
s_s_ trump choos governor nikki haley for un ambassador e_e_,real
s_s_ how did we miss donald trump elect victori e_e_,real
s_s_ trump romanc with china e_e_,real
s_s_ donald trump treat unfairli by media e_e_,real
s_s_ trump cake creator thrill after global exposur e_e_,real
s_s_ japan factori swamp by demand for trump mask e_e_,real
s_s_ pari climat deal donald trump to lose elon musk as advis e_e_,real
s_s_ donald trump climat chang stanc be soften after pari e_e_,real
s_s_ trump roll back part of obama terribl cuba deal e_e_,real
s_s_ hot mic captur us senat rip on trump mock politician e_e_,real
s_s_ will presid trump us tax cut deliv anyth e_e_,real
s_s_ us elect trump victori a class backlash against econom ine e_e_,real
s_s_ donald trump will take vote on jerusalem person e_e_,real
s_s_ trump european populist are a threat to human right hrw e_e_,real
s_s_ man arrest at trump washington hotel after gun found in car e_e_,fake
s_s_ grattan one businessman to anoth turnbul trump talk e_e_,real
s_s_ wall st end fairli flat as market weigh trump action e_e_,real
s_s_ donald trump warn of troubl if guam attack e_e_,real
s_s_ un human right chief trump would be danger if elect e_e_,fake
s_s_ germani reject trump claim it owe nato money for defenc e_e_,real
s_s_ donald trump reportedli brag to russian e_e_,real
s_s_ how trump use the media to win the us presid e_e_,fake
s_s_ trump say he could run hi busi and run the e_e_,real
s_s_ donald trump hold back some jfk assassin file e_e_,real
s_s_ imf cut us growth outlook on trump unmet promis e_e_,real
s_s_ donald trump break ice with china in letter to xi jinp e_e_,real
s_s_ malcolm turnbul your not on your own my own call with trump e_e_,real
s_s_ trump meet victim respond in hurrican ravag puerto rico e_e_,real
s_s_ trump team asset e_e_,real
s_s_ trump administr offici may be depos over travel ban e_e_,real
s_s_ trump promis quick decis on new fbi director e_e_,real
s_s_ trump warn sack fbi director jame comey e_e_,real
s_s_ what in donald trump jr email and what could they mean e_e_,real
s_s_ donald trump white hous email prank e_e_,real
s_s_ donald trump made friend with democrat thi week e_e_,real
s_s_ trump help son russian meet like ani father would e_e_,real
s_s_ syria refuge see dream of better life crush by trump ban e_e_,real
s_s_ japan and south korea applaud trump for brazen in un speech e_e_,real
s_s_ trump left hang in handshak diplomaci e_e_,real
s_s_ donald trump on the apprentic e_e_,real
s_s_ donald trump say fbi destroy michael flynn life e_e_,real
s_s_ trump art council quit with hidden messag in letter e_e_,real
s_s_ donald trump mcdonald bing scream fit memoir reveal e_e_,real
s_s_ donald trump in a minut e_e_,real
s_s_ donald trump victori popular in paulin hanson heartland ipswich e_e_,real
s_s_ donald trump escal conflict with media e_e_,real
s_s_ david taylor i went to school with a mini donald trump e_e_,real
s_s_ trump snap at san juan mayor over hurrican maria aid critic e_e_,real
s_s_ trump make pocahonta jab at navajo event e_e_,real
s_s_ no evid of wire tap at trump tower justic depart e_e_,fake
s_s_ donald trump should ask congress to use forc on north korea e_e_,real
s_s_ key moment us elect trump clinton presidenti debat e_e_,real
s_s_ mr trump jr statement wa true accord to e_e_,real
s_s_ just how big wa donald trump inaugur crowd e_e_,real
s_s_ trump warn of consequ for us compani send job abroad e_e_,real
s_s_ trump teach turnbul how not to play nice e_e_,fake
s_s_ trump macron look past climat chang differ in pari e_e_,real
s_s_ trump anti china rhetor rais concern in e_e_,real
s_s_ screen actor guild award trump us immigr ban featur e_e_,real
s_s_ trump support expect deliveri on key promis e_e_,fake
s_s_ trump campaign offici who had contact with russia and when e_e_,fake
s_s_ ha donald trump been moonlight e_e_,real
s_s_ donald trump 100 day undocu worker fear deport e_e_,real
s_s_ us compani pull fund of trump like juliu caesar product e_e_,real
s_s_ trump clinton and comey find out that languag matter e_e_,real
s_s_ trump blast depart store nordstrom e_e_,real
s_s_ trump expect to roll back much of obama e_e_,real
s_s_ donald trump arriv in south korea e_e_,real
s_s_ donald trump appointe andrew liveri rememb darwin root e_e_,real
s_s_ financ week ahead gdp bounc back as trump outlin tax plan e_e_,real
s_s_ mix signal from donald trump over climat e_e_,real
s_s_ donald trump virginia elect most import sinc novemb e_e_,real
s_s_ despit some similar not all brexit love trump e_e_,real
s_s_ donald trump on stage at celebratori concert e_e_,real
s_s_ donald trump nomin jerom powel as us fed e_e_,real
s_s_ donald trump fan ralli in jerusalem old citi e_e_,fake
s_s_ trump imperson wash off beach newcastl e_e_,real
s_s_ donald trump full statement on syrian strike e_e_,real
s_s_ trump sign execut order sweep away obama climat polici e_e_,real
s_s_ america first donald trump deliv hi first e_e_,real
s_s_ trump elect loom over usa mexico world cup qualifi e_e_,real
s_s_ donald trump presidenti transit yuge task e_e_,real
s_s_ australia day in us headlin after trump comment e_e_,real
s_s_ minefield trump repres triumph of class over ident e_e_,fake
s_s_ rattl by trump arab leader renew call for palestin e_e_,real
s_s_ what will trump mean for the usa half a million homeless e_e_,real
s_s_ putin say obama govt is work hard to undermin trump e_e_,real
s_s_ donald trump slam by media for fake news e_e_,real
s_s_ donald trump bone spur john mccain declin label draft dodger e_e_,real
s_s_ trump week of handshak and lack of hand hold e_e_,real
s_s_ trump call hi support violent and viciou e_e_,real
s_s_ donald trump abc america interview e_e_,real
s_s_ greg norman help malcolm turnbul contact donald trump e_e_,real
s_s_ believ me trump ask for blind faith despit trust issu e_e_,real
s_s_ afghan moab evid increasingli interventionist donald trump e_e_,real
s_s_ trump is a walk satir balloon armando iannucci veep creator e_e_,real
s_s_ trump blast comey as act fbi chief contradict presid e_e_,real
s_s_ trump hold press confer befor second debat e_e_,real
s_s_ us elect donald trump triumph in florida e_e_,real
s_s_ how trump plan to pay for mexico border wall would work e_e_,real
s_s_ g 20 shut trump out on climat strike deal on trade e_e_,real
s_s_ middl east protest against trump stanc on e_e_,real
s_s_ donald trump label hater in chief over puerto rico tweet e_e_,real
s_s_ trump insensit condol call johnson niger war respons e_e_,real
s_s_ theresa may wont be afraid to challeng donald trump e_e_,real
s_s_ whi donald trump ha so much influenc on e_e_,real
s_s_ obama say dont underestim donald trump in final interview e_e_,real
s_s_ us temper part of trump travel ban amid big protest e_e_,real
s_s_ trump voic concern over robert muller jame comey e_e_,real
s_s_ donald trump grand juri issu subpoena in russia investig e_e_,real
s_s_ trump chang cours on rip up nafta e_e_,real
s_s_ trump wont stop climat chang action un ban ki moon hope e_e_,real
s_s_ who ha left the white hous sinc donald trump took offic e_e_,real
s_s_ expert say a presid trump will chang the us and the world e_e_,fake
s_s_ donald trump first 100 day two perspect e_e_,real
s_s_ donald trump get elect date wrong e_e_,real
s_s_ whi twitter wont delet trump threaten north korea tweet e_e_,real
s_s_ trump north korea strategi will reli on sanction negoti e_e_,real
s_s_ us elect trump clinton presidenti debat quiz e_e_,real
s_s_ the trump financi revolut and how it might affect you e_e_,fake
s_s_ can donald trump control the court e_e_,real
s_s_ joseph kahn andrew oll lectur trump fake news e_e_,real
